,paper,laptop,pens,notepad,keyboards,monitor,6,7,8,9,10,saleDate,trf_paper,log_paper
0,1068.7,259.19,1727.5,1475.5,1894.3,1651.4,2114.4,1350.5,3329.1,2054.2,2616.3,2020-01-01,2404.13374391233,6.974198235530851
1,1119.4,270.51,1984.5,1382.1,2044.9,1685.0,2654.8,1467.9,3531.4,2368.5,2507.9,2020-01-02,2533.969000128245,7.02054810645726
2,1217.8,267.46,2047.8,1460.8,1977.9,1819.0,1912.8,1370.9,3394.4,2199.8,2548.7,2020-01-03,2788.1929873948907,7.1048012311744735
3,1022.4,312.21,1786.9,1426.9,2049.4,1718.7,1964.8,1376.2,3659.4,2302.4,2492.4,2020-01-04,2286.2864045296396,6.92990808362327
4,1118.3,320.99,1913.4,1433.9,2017.9,1718.7,2189.4,1526.3,3434.4,2513.5,2707.5,2020-01-05,2531.1435344025067,7.019564954034142
5,1141.3,316.43,1733.7,1400.2,1864.3,1741.0,2741.1,1485.9,3537.1,2437.9,2486.0,2020-01-06,2590.2987057064975,7.039923242559555
6,1160.3,261.91,1988.3,1374.0,1971.5,1721.5,2402.1,1696.8,3452.3,2489.9,2484.0,2020-01-07,2639.287144367055,7.0564338713535
7,1046.1,252.5,1948.0,1406.3,2104.0,1829.7,2525.2,1566.6,3358.1,2595.8,2611.9,2020-01-08,2346.522384226598,6.952824242349715
8,1059.8,250.96,2057.1,1378.4,2111.3,1675.6,2533.1,1555.9,3007.6,2539.1,2373.0,2020-01-09,2381.4263465911527,6.965835490058661
9,1091.4,143.35,1985.2,1397.3,2109.9,1770.7,2433.5,1561.7,3597.4,2479.1,2333.2,2020-01-10,2462.1650697926875,6.995216554752131
10,1120.0,145.58,1954.6,1365.8,2190.4,1803.7,2695.1,1559.1,3560.7,2376.0,2430.5,2020-01-11,2535.510320542839,7.02108396428914
11,1045.6,174.35,1845.8,1365.3,2220.8,1816.7,2521.9,1694.2,3446.1,2321.1,2575.4,2020-01-12,2345.2496736119115,6.952346162310012
